18543  03 58 01.73 -13 30 29.7  2.97  M ZAURAK   
47908  09 45 51.10 +23 46 27.4  2.97  G          
26451  05 37 38.68 +21 08 33.3  2.97  B          
88635  18 05 48.52 -30 25 25.1  2.98  K ALNASL   
64962  13 18 55.25 -23 10 17.1  2.99  G          
87073  17 47 35.08 -40 07 37.1  2.99  F          
93747  19 05 24.61 +13 51 49.4  2.99  A          
75097  15 20 43.75 +71 50 02.3  3.00  A PHERKAD  
82514  16 51 52.24 -38 02 50.4  3.00  B          
108085 21 53 55.65 -37 21 53.4  3.00  B          
54539  11 09 39.86 +44 29 54.8  3.00  K          
10064  02 09 32.52 +34 59 14.6  3.00  A          
17358  03 42 55.48 +47 47 15.6  3.01  B          
30122  06 20 18.79 -30 03 48.2  3.02  B FURUD    
59316  12 10 07.53 -22 37 11.3  3.02  K          
33977  07 03 01.47 -23 49 59.9  3.02  B          
23416  05 01 58.13 +43 49 23.9  3.03  F          
71075  14 32 04.76 +38 18 28.4  3.04  A SEGINUS  
62322  12 46 16.87 -68 06 29.1  3.04  B          
95947  19 30 43.29 +27 57 34.9  3.05  K ALBIREO  
100345 20 21 00.65 -14 46 53.0  3.05  A DABIH    
32246  06 43 55.93 +25 07 52.2  3.06  A MEBSUTA  
50801  10 22 19.80 +41 29 58.0  3.06  M TANIA AUS
94376  19 12 33.15 +67 39 40.7  3.07  G ALTAIS   
89642  18 17 37.73 -36 45 40.6  3.10  M          
56561  11 35 46.93 -63 01 11.4  3.11  B          
101772 20 37 33.99 -47 17 30.0  3.11  K          
52943  10 49 37.43 -16 11 38.9  3.11  K          
43813  08 55 23.68 +05 56 43.9  3.11  G          
83081  16 58 37.23 -55 59 24.2  3.12  K          
27628  05 50 57.55 -35 46 09.5  3.12  K WAZN     
44127  08 59 12.84 +48 02 32.5  3.12  A TALITHA  
84379  17 15 01.92 +24 50 22.5  3.12  A          
73334  14 59 09.70 -42 06 14.9  3.13  B          
45860  09 21 03.46 +34 23 33.1  3.14  M          
46701  09 31 13.35 -57 02 03.8  3.16  K          
84380  17 15 02.85 +36 48 33.0  3.16  K          
83895  17 08 47.23 +65 42 52.7  3.17  B          
31685  06 37 45.67 -43 11 45.3  3.17  B          
92041  18 45 39.35 -26 59 26.8  3.17  B          
46853  09 32 52.33 +51 40 43.0  3.17  F          
71908  14 42 30.69 -64 58 28.5  3.18  F          
23767  05 06 30.87 +41 14 04.7  3.18  B          
87261  17 49 51.45 -37 02 36.1  3.19  K G SCO    
22449  04 49 50.14 +06 57 40.5  3.19  F          
83000  16 57 40.27 +09 22 30.2  3.19  K          
23685  05 05 27.65 -22 22 15.1  3.19  K          
116727 23 39 20.98 +77 37 55.1  3.21  K ERRAI    
104732 21 12 56.18 +30 13 37.5  3.21  G          
75141  15 21 22.34 -40 38 50.9  3.22  B          
79882  16 18 19.24 -04 41 33.4  3.23  G YED POSTE
106032 21 28 39.58 +70 33 38.5  3.23  B ALFIRK   
89962  18 21 18.92 -02 53 49.6  3.23  K          
99473  20 11 18.26 -00 49 17.3  3.24  B          
32607  06 48 11.54 -61 56 31.1  3.24  A          
36377  07 29 13.88 -43 18 06.8  3.25  K          
68895  14 06 22.27 -26 40 55.3  3.25  K          
73714  15 04 04.26 -25 16 54.7  3.25  M          
93194  18 58 56.62 +32 41 22.4  3.25  B SULAFAT  
17678  03 47 14.23 -74 14 21.3  3.26  M          
113136 22 54 39.04 -15 49 14.7  3.27  A SKAT     
84970  17 22 00.58 -24 59 58.2  3.27  B          
3092   00 39 19.60 +30 51 40.4  3.27  K          
50099  10 13 44.28 -70 02 16.5  3.29  B          
24305  05 12 55.87 -16 12 19.5  3.29  B          
75458  15 24 55.78 +58 57 57.7  3.29  K EDASICH  
51576  10 32 01.48 -61 41 07.3  3.30  B          
21281  04 33 59.72 -55 02 42.0  3.30  A          
29655  06 14 52.70 +22 30 24.6  3.31  M          
85267  17 25 23.66 -56 22 39.7  3.31  B          
14354  03 05 10.50 +38 50 25.9  3.32  M          
5165   01 06 05.11 -46 43 06.6  3.32  G          
59774  12 15 25.45 +57 01 57.4  3.32  A MEGREZ   
84143  17 12 09.18 -43 14 18.6  3.32  F          
88048  17 59 01.60 -09 46 24.1  3.32  K          
93864  19 06 56.44 -27 40 11.3  3.32  K          
54879  11 14 14.44 +15 25 47.1  3.33  A CHERTAN  
19780  04 14 25.43 -62 28 26.3  3.33  G          
38170  07 49 17.66 -24 51 35.2  3.34  G          
32362  06 45 17.43 +12 53 45.8  3.35  F          
41704  08 30 16.03 +60 43 06.4  3.35  G MUSCIDA  
25281  05 24 28.62 -02 23 49.7  3.35  B          
8886   01 54 23.68 +63 40 12.5  3.35  B          
95501  19 25 29.75 +03 06 52.5  3.36  F          
75264  15 22 40.89 -44 41 22.5  3.37  B          
66249  13 34 41.75 -00 35 45.4  3.38  A          
43109  08 46 46.65 +06 25 08.1  3.38  G          
109492 22 10 51.26 +58 12 04.5  3.39  K          
63090  12 55 36.48 +03 23 51.4  3.39  M          
50371  10 17 05.01 -61 19 56.4  3.39  K q CAR    
26207  05 35 08.28 +09 56 03.0  3.39  O          
20894  04 28 39.67 +15 52 15.4  3.40  A          
74395  15 12 17.20 -52 05 56.7  3.41  G          
6867   01 28 21.94 -43 19 03.8  3.41  K          
18724  04 00 40.82 +12 29 25.4  3.41  B          
112029 22 41 27.67 +10 49 53.0  3.41  B HOMAM    
67464  13 49 30.30 -41 41 15.6  3.41  B          
102422 20 45 17.27 +61 50 12.5  3.41  K          
86974  17 46 27.72 +27 43 21.0  3.42  G          
8796   01 53 04.90 +29 34 45.8  3.42  F          
78384  16 00 07.34 -38 23 47.9  3.42  B          
102395 20 44 57.56 -66 12 11.7  3.42  A          
50335  10 16 41.40 +23 25 02.4  3.43  F ADHAFERA 
93805  19 06 14.95 -04 52 56.4  3.43  B          
45080  09 10 58.11 -58 58 00.9  3.43  B          
50372  10 17 05.93 +42 54 52.1  3.45  A TANIA BOR
74666  15 15 30.10 +33 18 54.4  3.46  G          
5364   01 08 35.26 -10 10 54.9  3.46  K          
3821   00 49 05.10 +57 48 59.6  3.46  G          
38827  07 56 46.74 -52 58 56.6  3.46  B          
12706  02 43 18.12 +03 14 10.2  3.47  A          
67472  13 49 37.01 -42 28 25.3  3.47  B          
49583  10 07 19.95 +16 45 45.6  3.48  A          
81833  16 42 53.74 +38 55 20.9  3.48  G          
73555  15 01 56.79 +40 23 26.3  3.49  G NEKKAR   
90422  18 26 58.43 -45 58 06.0  3.49  B          
55219  11 18 28.76 +33 05 39.3  3.49  K ALULA BOR
33856  07 01 43.15 -27 56 05.4  3.49  K          
112623 22 48 33.20 -51 19 00.1  3.49  A          
8102   01 44 05.13 -15 56 22.4  3.49  G          
32759  06 49 50.47 -32 30 30.6  3.50  B          
35550  07 20 07.39 +21 58 56.4  3.50  F WASAT    
112724 22 49 40.91 +66 12 02.6  3.50  K          
112748 22 50 00.10 +24 36 06.1  3.51  M SADALBARI
98337  19 58 45.39 +19 29 31.5  3.51  K          
47508  09 41 09.12 +09 53 32.6  3.52  A          
93085  18 57 43.78 -21 06 23.8  3.52  G          
92420  18 50 04.79 +33 21 45.6  3.52  A SHELIAK  
48774  09 56 51.75 -54 34 04.1  3.52  B          
17378  03 43 14.96 -09 45 54.7  3.52  K          
109427 22 10 11.82 +06 11 52.0  3.52  A BIHAM    
20889  04 28 36.93 +19 10 49.9  3.53  K          
40526  08 16 30.95 +09 11 08.4  3.53  K          
86263  17 37 35.23 -15 23 54.3  3.54  F          
77516  15 49 37.27 -03 25 48.5  3.54  A          
