USA, IN, Muncie                    40 11N  85 21W -5
USA, IN, Peru, Grissom AFB         40 39N  86 9W -5
USA, IN, Richmond                  39 46N  84 50W -5
USA, IN, Shelbyville               39 31N  85 47W -5
USA, IN, South Bend                41 42N  86 19W -5
USA, IN, Terre Haute               39 27N  87 18W -5
USA, IN, Valparaiso                41 31N  87 2W -5
USA, IN, Vincennes                 38 41N  87 32W -5
USA, IA, Ames                      42 2N  93 48W -6
USA, IA, Burlington                40 47N  91 7W -6
USA, IA, Cedar Rapids              41 53N  91 42W -6
USA, IA, Clinton                   41 50N  90 13W -6
USA, IA, Council Bluffs            41 20N  95 49W -6
USA, IA, Des Moines                41 32N  93 39W -6
USA, IA, Dubuque                   42 24N  90 42W -6
USA, IA, Fort Dodge                42 33N  94 11W -6
USA, IA, Iowa City                 41 38N  91 33W -6
USA, IA, Keokuk                    40 24N  91 24W -6
USA, IA, Marshalltown              42 4N  92 56W -6
USA, IA, Mason City                43 9N  93 20W -6
USA, IA, Newton                    41 41N  93 2W -6
USA, IA, Ottumwa                   41 6N  92 27W -6
USA, IA, Sioux City                42 24N  96 23W -6
USA, IA, Waterloo                  42 33N  92 24W -6
USA, KS, Atchison                  39 34N  95 7W -6
USA, KS, Chanute                   37 40N  95 29W -6
USA, KS, Dodge City                37 46N  99 58W -6
USA, KS, El Dorado                 37 49N  96 50W -6
USA, KS, Emporia                   38 20N  96 12W -6
USA, KS, Garden City               37 56N  100 44W -6
USA, KS, Goodland                  39 22N  101 42W -6
USA, KS, Great Bend                38 21N  98 52W -6
USA, KS, Hutchinson                38 4N  97 52W -6
USA, KS, Liberal                   37 3N  100 58W -6
USA, KS, Manhattan, Ft Riley       39 3N  96 46W -6
USA, KS, Parsons                   37 20N  95 31W -6
USA, KS, Russell                   38 52N  98 49W -6
USA, KS, Salina                    38 48N  97 39W -6
USA, KS, Topeka                    39 4N  95 38W -6
USA, KS, Wichita                   37 39N  97 25W -6
USA, KY, Ashland                   38 33N  82 44W -6
USA, KY, Bowling Green             35 58N  86 28W -6
USA, KY, Corbin                    36 57N  84 6W -6
USA, KY, Covington                 39 3N  84 40W -6
USA, KY, Hopkinsville, Ft Campbell 36 40N  87 29W -6
USA, KY, Lexington                 38 2N  84 36W -6
USA, KY, Louisville                38 11N  85 44W -6
USA, KY, Madisonville              37 19N  87 29W -6
USA, KY, Owensboro                 37 45N  87 10W -6
USA, KY, Paducah                   37 4N  88 46W -6
USA, LA, Alexandria                31 24N  92 18W -6
USA, LA, Baton Rouge               30 32N  91 9W -6
USA, LA, Bogalusa                  30 47N  89 52W -6
USA, LA, Houma                     29 31N  90 40W -6
USA, LA, Lafayette                 30 12N  92 0W -6
USA, LA, Lake Charles              30 7N  93 13W -6
USA, LA, Minden                    32 36N  93 18W -6
USA, LA, Monroe                    32 31N  92 2W -6
USA, LA, Natchitoches              31 46N  93 5W -6
USA, LA, New Orleans               29 59N  90 15W -6
USA, LA, Shreveport                32 28N  93 49W -6
USA, ME, Augusta                   44 19N  69 48W -5
USA, ME, Bangor, Dow AFB           44 48N  68 50W -5
USA, ME, Caribou                   46 52N  68 1W -5
USA, ME, Lewiston                  44 2N  70 15W -5
USA, ME, Millinocket               45 39N  68 42W -5
USA, ME, Portland                  43 39N  70 19W -5
USA, ME, Waterville                44 32N  69 40W -5
USA, MD, Baltimore                 39 11N  76 40W -5
USA, MD, Baltimore Co              39 20N  76 25W -5
USA, MD, Cumberland                39 37N  78 46W -5
USA, MD, Frederick                 39 27N  77 25W -5
USA, MD, Hagerstown                39 42N  77 44W -5
USA, MD, Salisbury                 38 20N  75 30W -5
USA, MA, Boston                    42 22N  71 2W -5
USA, MA, Clinton                   42 24N  71 41W -5
USA, MA, Fall River                41 43N  71 8W -5
USA, MA, Framingham                42 17N  71 25W -5
USA, MA, Gloucester                42 35N  70 41W -5
USA, MA, Greenfield                42 3N  72 4W -5
USA, MA, Lawrence                  42 42N  71 10W -5
USA, MA, Lowell                    42 39N  71 19W -5
USA, MA, New Bedford               41 41N  70 58W -5
USA, MA, Pittsfield                42 26N  73 18W -5
USA, MA, Springfield, Westover AFB 42 12N  72 32W -5
USA, MA, Taunton                   41 54N  71 4W -5
USA, MA, Worcester                 42 16N  71 52W -5
USA, MI, Adrian                    41 55N  84 1W -5
USA, MI, Alpena                    45 4N  83 26W -5
USA, MI, Battle Creek              42 19N  85 15W -5
USA, MI, Benton Harbor             42 8N  86 26W -5
